scene,width,height,pair,method,trajectory,frame,trajectory_phase,repeat_count,min_ms,median_ms,max_ms
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,113,0.4708333333333333,12,1.4853645470695496,1.5209895461997984,1.8344270385475159
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,114,0.475,12,1.4639062142601014,1.4883332969970704,1.6829687089118957
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,115,0.4791666666666667,12,1.4680728808250427,1.4971093384494782,1.817187455635071
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,116,0.48333333333333334,12,1.4842707970962525,1.5131510047245025,1.9359895360679626
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,117,0.4875,12,1.4592187143745423,1.49981767171669,2.1764061968650816
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,118,0.49166666666666664,12,1.4253645485343933,1.498906213405609,1.862864537853241
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,119,0.49583333333333335,12,1.4018749657745362,1.452526006204605,1.9490624524154663
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,120,0.5,12,1.4282291317977904,1.4605468393421173,1.888385370563507
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,121,0.5041666666666667,12,1.4273957984848022,1.4622916309661864,1.8397395384178161
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,122,0.5083333333333333,12,1.444687464729309,1.4947655885066986,1.9501041190567017
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,123,0.5125,12,1.477864547252655,1.5012499633483887,1.9117707866592408
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,124,0.5166666666666667,12,1.420312465324402,1.4782291305770876,1.779270789894104
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,125,0.5208333333333334,12,1.4451041313858033,1.4708072557582854,1.8465624549179078
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,126,0.525,12,1.4359895482749938,1.4622655893001557,1.8667707877578736
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,127,0.5291666666666667,12,1.439322881526947,1.4627864226207734,1.9250520363349914
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,128,0.5333333333333333,12,1.4089062156028747,1.4537760061740874,1.8788541207962035
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,129,0.5375,12,1.4044791323776245,1.4517447562236785,1.8495832881774903
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,130,0.5416666666666666,12,1.3960416325836182,1.4385676732120514,1.8163020389900209
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,131,0.5458333333333333,12,1.3805207996292115,1.4374218399066925,1.8273437053871155
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,132,0.55,12,1.3971874658889771,1.4336197566661835,1.8528645380973816
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,133,0.5541666666666667,12,1.4001562158164977,1.415807257101059,1.7626562069664002
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,134,0.5583333333333333,12,1.3840624662094116,1.4168489237422943,1.8110416224517822
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,135,0.5625,12,1.3613020500984192,1.3999999658203124,1.7829166231384277
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,136,0.5666666666666667,12,1.3856249661712647,1.4143489238033293,1.7201562080039978
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,137,0.5708333333333333,12,1.3592708001480103,1.4038801740589142,1.7288020411262512
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,138,0.575,12,1.3585937168312072,1.375911424741745,1.6348957934188844
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,139,0.5791666666666667,12,1.3395312172966003,1.3848176745243073,1.7471874573440551
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,140,0.5833333333333334,12,1.3357291340560913,1.3708853831977845,1.5794791281051637
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,141,0.5875,12,1.355260383579254,1.3996353824958803,1.8194791222457887
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,142,0.5916666666666667,12,1.3461458004684448,1.3576562168540955,1.7203645413322448
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,143,0.5958333333333333,12,1.309791634689331,1.3408593422641755,1.6768228757286072
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,144,0.6,12,1.2988541349563598,1.3289583008880617,1.5001562133750916
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,145,0.6041666666666666,12,1.3031770515174865,1.3203645510978699,1.6429687098884582
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,146,0.6083333333333333,12,1.298385384967804,1.3330468424549102,1.6307291268539428
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,147,0.6125,12,1.293697885082245,1.3128124679489135,1.5734895449180604
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,148,0.6166666666666667,12,1.2696353856697082,1.326406217617035,1.4283853817939758
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,149,0.6208333333333333,12,1.2684374690322875,1.295703093366623,1.4846874637527465
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,150,0.625,12,1.2705728856468201,1.3119530929698944,1.6871353754768372
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,151,0.6291666666666667,12,1.2624478858451844,1.298619759962082,1.5759895448570251
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,152,0.6333333333333333,12,1.2646874691238403,1.2807812187309264,1.479218713886261
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,153,0.6375,12,1.256041636001587,1.2923697601146698,1.6656249593353272
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,154,0.6416666666666667,12,1.264322885799408,1.2908333018188478,1.640104126625061
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,155,0.6458333333333334,12,1.249999969482422,1.2761718438434602,1.6254687103157044
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,156,0.65,12,1.252864552745819,1.2803905937404632,1.638749959991455
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,157,0.6541666666666667,12,1.2545833027038573,1.2896874685134887,1.6435937098731994
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,158,0.6583333333333333,12,1.2570312193107605,1.2760155938472748,1.625520793647766
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,159,0.6625,12,1.255572886013031,1.2821353853645325,1.655572876247406
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,160,0.6666666666666666,12,1.251302052783966,1.2806249687347413,1.499583296722412
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,161,0.6708333333333333,12,1.2597395525779724,1.284010385318756,1.3802603829689026
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,162,0.675,12,1.2474478862113954,1.2780989271297454,1.486406213710785
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,163,0.6791666666666667,12,1.2408853863716125,1.2816145520439148,1.5603645452384949
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,164,0.6833333333333333,12,1.2449478862724304,1.281119760389328,1.6456770431556702
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,165,0.6875,12,1.249322886165619,1.2866145519218444,2.2163541125564574
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,166,0.6916666666666667,12,1.2715624689559937,1.2892447601909636,1.6431249598846436
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,167,0.6958333333333333,12,1.2821353853645325,1.298541634963989,1.582968711353302
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,168,0.7,12,1.2794791354293824,1.3077083014068602,1.7042707917251587
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,169,0.7041666666666667,12,1.2853124686203004,1.3077343430728914,1.5976562109947205
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,170,0.7083333333333334,12,1.288072885219574,1.3178645511589049,1.6814062089500428
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,171,0.7125,12,1.2864062185935974,1.321197884410858,1.6818749589385986
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,172,0.7166666666666667,12,1.307760384738922,1.3252343426456452,1.675312459098816
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,173,0.7208333333333333,12,1.2759895521812439,1.3331770507850647,1.6904166253967285
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,174,0.725,12,1.3166666345214844,1.3405208006057738,1.751718707233429
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,175,0.7291666666666666,12,1.308697884716034,1.3346093424167633,1.5476562122154236
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,176,0.7333333333333333,12,1.3206770510902406,1.3488280920696258,1.6895832920837401
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,177,0.7375,12,1.3301562175254822,1.350755175355911,1.7161457914352416
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,178,0.7416666666666667,12,1.3149478845634461,1.3628385083942414,1.7486978739738464
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,179,0.7458333333333333,12,1.33510413407135,1.3637499667053223,1.7596874570388794
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,180,0.75,12,1.3293749675445556,1.3723957998275758,1.4864582970428466
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,181,0.7541666666666667,12,1.3490103837318421,1.3668749666290283,1.770989540096283
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,182,0.7583333333333333,12,1.3575520501899718,1.38283850790596,1.6579166261901856
